Gesture,Recall,Misclassification_Rate,Total_Errors,Major_Confusion,Major_Confusion_Rate
index_press,0.8572165243797628,0.1427834756202372,2492,index_release,0.05964590614794018
middle_press,0.8175440597729995,0.1824559402270005,3199,middle_release,0.09268237038726972
thumb_down,0.7910158771137215,0.20898412288627854,1619,thumb_in,0.06157222150509875
index_release,0.7491815518924818,0.2508184481075182,4367,middle_release,0.12986043305956005
middle_release,0.7152245970968111,0.2847754029031889,4983,index_release,0.1277860326894502
thumb_out,0.700782511489256,0.29921748851074403,2409,thumb_up,0.11042106570612346
thumb_in,0.6807061790668348,0.31929382093316516,2532,thumb_click,0.08209331651954603
thumb_up,0.6657907907907908,0.33420920920920916,2671,thumb_out,0.11011011011011011
thumb_click,0.5943396226415094,0.4056603773584906,2666,thumb_in,0.11016433353621424
