Logit_L2,RandomForest,XGBoost,Logit_Weighted_L2,DecisionTree
0.10467477392300846,0.024248346042030522,0.026599187,0.1047496330200111,0.05011632468657794
0.07855742167993697,0.04161143986685273,0.035645932,0.08020539736939963,0.07576674788230514
0.04320489126068707,0.03239267165465771,0.018523563,0.04966518733587989,0.018631487517204618
0.042935748281075305,0.007918543228546283,0.019451763,0.041943490528110444,0.024133142386112243
0.040798374571834016,0.013147539886395866,0.023396982,0.04162286171564582,0.02907375916041816
0.03967526349320279,0.0420637138680338,0.023081522,0.04002410965675955,0.038501356654401166
0.03878914507839822,0.04671512895431067,0.0344531,0.03893900185103776,0.02957553197609414
0.037437834100112644,0.0317893183489875,0.019405395,0.03700491746889104,0.019932784067635507
0.03658959794046453,0.015209270916810355,0.016514625,0.03542638589193063,0.01865339478329043
0.03469947333064842,0.07207349998683188,0.039758567,0.034421496233386084,0.07438134620291627
