Metric,All users,Above-avg samples
User Count,100.0,46.0
Total Samples,27112.0,15807.0
Mean Accuracy,0.44404700215875764,0.5500727525779718
Accuracy Std,0.14655398957422067,0.12503885816772514
F1 Macro,0.39768289408290475,0.41065866199853857
