Gesture,All_Users_Recall,Above_Avg_Recall,Absolute_Improvement,Percent_Improvement
index_release,0.523,0.563,0.041,7.796
thumb_out,0.265,0.305,0.04,15.2
index_press,0.665,0.685,0.02,3.003
thumb_down,0.452,0.47,0.018,4.029
thumb_click,0.062,0.075,0.013,20.918
thumb_up,0.181,0.192,0.011,6.239
middle_press,0.609,0.618,0.009,1.486
middle_release,0.539,0.537,-0.002,-0.313
thumb_in,0.253,0.2,-0.053,-20.926
