mean,median,std,n_users_with_score
0.017192022544373176,0.016337368531265606,0.007053159495554084,100
0.016798314120693054,0.016100138036845242,0.007059535589110105,100
0.016774254948801005,0.01582045459151987,0.006691500737947986,100
0.01612975912910689,0.014172858925847208,0.006639721028299021,100
0.015504599472609822,0.014457120357905754,0.006405480547160763,100
0.015114342222456582,0.013708244901178612,0.00675362519032202,100
0.01372496313904516,0.012061495910695353,0.006517919436065288,100
0.013527209623006808,0.012316060197835928,0.007237770256253349,100
0.013167547605974456,0.011839741404537609,0.0057157921838082,100
0.012947168020833259,0.011309981783525344,0.005689231384919761,100
0.01227675244817781,0.010819407171091491,0.005272457827552949,100
0.011877196687054415,0.010960179599760679,0.004353359695044458,100
0.011823414329677767,0.010900889792201775,0.0044383936007781925,100
0.011783819294181432,0.01072708557088975,0.004991561177415386,100
0.011470305161081789,0.010279058622074115,0.004975774103596533,100
0.01106355228125,0.010858763159617492,0.003941613032918223,100
0.011011478674149786,0.00990170866094433,0.004994925421854711,100
0.010879728797216472,0.0104842251187363,0.0037516763424333085,100
0.010799567598827884,0.007805556373851811,0.007262742114025963,100
0.010762529464067114,0.009952381177954245,0.0038828152685818633,100
