feature,importance
ch05_rms,0.0141937291543711
ch05_maxabs,0.0140620736195334
ch04_rms,0.0139309060131739
ch05_mav,0.0133700444987438
ch05_fft-maxpower,0.0124238828947065
ch04_fft-maxpower,0.012339966558658
ch04_maxabs,0.0119291741516828
ch04_mav,0.0112991406977528
ch03_maxabs,0.0110869305028364
ch10_mav,0.0108007024127423
ch10_fft-maxpower,0.010692241348534
ch11_fft-maxpower,0.0106847806872455
ch06_mav,0.0106321728413527
ch04_thresh2-events,0.0105994373947081
ch11_mav,0.010562207063699
ch03_rms,0.010484709430195
ch10_rms,0.0103694688504027
ch07_mav,0.0100584522211453
ch13_maxabs,0.0099349983814379
ch03_mav,0.0098433778393504
