User_ID,Accuracy,Sample_Count
91,0.41708542713567837,199
52,0.29239766081871343,171
36,0.38414634146341464,164
58,0.45151515151515154,330
4,0.7961165048543689,309
21,0.3563218390804598,174
71,0.4311377245508982,167
51,0.5160142348754448,281
19,0.3302325581395349,215
27,0.43103448275862066,348
42,0.43577981651376146,218
63,0.7215909090909091,352
85,0.5584045584045584,351
6,0.6112676056338028,355
38,0.29577464788732394,213
49,0.5552407932011332,353
77,0.4396551724137931,348
12,0.27011494252873564,348
33,0.2996845425867508,317
56,0.41148325358851673,209
68,0.6096866096866097,351
37,0.40476190476190477,210
9,0.2191780821917808,219
95,0.40375586854460094,213
73,0.4766355140186916,214
28,0.3411214953271028,214
16,0.5925925925925926,351
67,0.3789954337899543,219
59,0.215962441314554,213
81,0.6210826210826211,351
2,0.5612535612535613,351
23,0.6846846846846847,333
78,0.3256880733944954,218
46,0.3160377358490566,212
7,0.3211009174311927,218
39,0.3761904761904762,210
84,0.35046728971962615,214
62,0.39069767441860465,215
43,0.6430594900849859,353
18,0.6936416184971098,346
26,0.6657142857142857,350
57,0.5278592375366569,341
69,0.48623853211009177,218
32,0.5596590909090909,352
13,0.7635327635327636,351
48,0.18811881188118812,202
76,0.45495495495495497,222
90,0.5272727272727272,220
29,0.6822429906542056,214
17,0.28955223880597014,335
72,0.4449760765550239,209
94,0.2534562211981567,217
53,0.29439252336448596,214
8,0.5212464589235127,353
79,0.6275071633237822,349
47,0.34560906515580736,353
22,0.4820846905537459,307
3,0.23394495412844038,218
80,0.48732394366197185,355
66,0.3972602739726027,219
54,0.3409090909090909,220
31,0.6657142857142857,350
10,0.3310810810810811,148
75,0.5086206896551724,348
93,0.2783018867924528,212
87,0.5971830985915493,355
61,0.33796296296296297,216
98,0.6946778711484594,357
40,0.42776203966005666,353
25,0.37962962962962965,216
44,0.47109826589595377,346
0,0.7005649717514124,354
83,0.6272189349112426,338
65,0.46543778801843316,217
14,0.2660098522167488,203
97,0.31974921630094044,319
50,0.30097087378640774,206
88,0.5242165242165242,351
35,0.5545454545454546,330
92,0.2648401826484018,219
74,0.3194444444444444,216
11,0.5345622119815668,217
30,0.3474178403755869,213
55,0.4339622641509434,212
24,0.3623853211009174,218
41,0.28095238095238095,210
99,0.33796296296296297,216
60,0.5750708215297451,353
86,0.5532544378698225,338
5,0.35023041474654376,217
64,0.12437810945273632,201
82,0.5953079178885631,341
1,0.2073732718894009,217
20,0.5775862068965517,348
45,0.6724137931034483,348
34,0.3465346534653465,202
89,0.3577981651376147,218
96,0.3378995433789954,219
70,0.4017094017094017,351
15,0.46742209631728043,353
