mean,median,std,n_users_with_score,importance_norm_median,importance_norm_mean
0.007815739384113583,0.007246848672340017,0.002844372790045958,100,0.4435750260803247,0.45461430520701696
0.008049594533409149,0.007368496325594384,0.0032364339634207255,100,0.45102100203548323,0.4682168437502266
0.01023614283945523,0.008854233362776852,0.00579087542322027,100,0.541962026860818,0.5954007338598706
0.01372496313904516,0.012061495910695353,0.006517919436065288,100,0.7382765399221233,0.798333244597637
0.016798314120693054,0.016100138036845242,0.007059535589110105,100,0.9854792714036924,0.9770993539204624
0.017192022544373176,0.016337368531265606,0.007053159495554084,100,1.0,1.0
0.013167547605974456,0.011839741404537609,0.0057157921838082,100,0.7247030867841004,0.7659103268384265
0.010606714535945033,0.009321860640456432,0.005031642677224787,100,0.5705851969132446,0.616955597200315
0.010170346370801133,0.009316352375278319,0.004485563933524511,100,0.5702480394837864,0.5915735827213543
0.01106355228125,0.010858763159617492,0.003941613032918223,100,0.6646580285458185,0.6435282557764572
0.011823414329677767,0.010900889792201775,0.0044383936007781925,100,0.6672365730956132,0.6877267813697396
0.01029680790329805,0.009817162377765148,0.0033951993592415083,100,0.6009023031449388,0.5989294090745665
0.01019076434150762,0.009132725600852936,0.0039776908156341955,100,0.5590083607023494,0.5927612248765334
0.010071876177652156,0.009443252094665781,0.003661173560094547,100,0.5780154910868159,0.5858459149676143
0.01026723661044986,0.009619159784726251,0.0037282987018655276,100,0.5887826895939577,0.597209350089542
0.010129327438004942,0.009633196073619121,0.0036880940231199524,100,0.5896418419639375,0.5891876544403554
0.007326356976030191,0.006739690622650757,0.002666270875308757,100,0.4125322024628806,0.42614863708563794
0.007946821438475417,0.007498751518344181,0.0026815766272525834,100,0.4589938400418317,0.46223889120459266
0.009431135223784423,0.00830922304442129,0.004297973612619787,100,0.5086022898069252,0.5485762480500682
0.013527209623006808,0.012316060197835928,0.007237770256253349,100,0.7538582590131387,0.786830612168675
0.015504599472609822,0.014457120357905754,0.006405480547160763,100,0.8849111979226317,0.9018484842369151
0.016774254948801005,0.01582045459151987,0.006691500737947986,100,0.9683600245194632,0.9756999157897857
0.011470305161081789,0.010279058622074115,0.004975774103596533,100,0.629174680267669,0.6671876523821763
0.008117591055413766,0.0072478407284213035,0.003346173263877215,100,0.443635749205924,0.47217196432019537
0.007815467547389982,0.007263695584023275,0.002800997621959852,100,0.4446062148945463,0.45459849341274433
0.00910755563042736,0.008801854285296559,0.0033357055629014403,100,0.5387559366401038,0.5297547514796737
0.008846452486094473,0.008131116427860706,0.0032235584282310093,100,0.4977004963987804,0.5145672920833769
0.008455069346914557,0.007730672242900954,0.0031186716835576367,100,0.4731895609814026,0.49180189969456733
0.008755556051841348,0.007789593901826101,0.004223030440625736,100,0.4767961184764108,0.5092801634736676
0.008291265422015035,0.0075837955031498264,0.002996748091771189,100,0.4641993285905471,0.482273996594351
0.008712469419053133,0.007575163438956388,0.0037575020359641386,100,0.46367096539809544,0.506773964294542
0.008212515581766125,0.0076337727948400744,0.002897555373148613,100,0.46725840702136073,0.4776933930006985
0.007508261464734744,0.0069967089748268155,0.002724380115848876,100,0.428264133323361,0.4367293868627542
0.007123526511420253,0.006727381242696129,0.0021129333345902192,100,0.41177875309733125,0.4143506962624204
0.008571195567143747,0.007736358589235272,0.0038703859492931108,100,0.4735376186458567,0.49855655697409706
0.011783819294181432,0.01072708557088975,0.004991561177415386,100,0.6565981265808389,0.6854236762293097
0.015114342222456582,0.013708244901178612,0.00675362519032202,100,0.8390730046239997,0.8791485808866273
0.01612975912910689,0.014172858925847208,0.006639721028299021,100,0.8675117353644761,0.9382118414209526
0.012947168020833259,0.011309981783525344,0.005689231384919761,100,0.6922768352737401,0.7530916148705711
0.011011478674149786,0.00990170866094433,0.004994925421854711,100,0.6060773276917243,0.6404993156406582
0.009105848779677213,0.008374105178285492,0.003236776088115581,100,0.5125736842049908,0.5296554699236066
0.010242287246980461,0.00988633996575005,0.003364112040974704,100,0.6051366195743266,0.5957581326190552
0.010879728797216472,0.0104842251187363,0.0037516763424333085,100,0.6417327918307122,0.6328358847329064
0.010762529464067114,0.009952381177954245,0.0038828152685818633,100,0.6091789604248625,0.6260188082169316
0.009321163616371092,0.008606913054012868,0.003095808492086124,100,0.5268237071068945,0.5421795831358912
0.009639554167696358,0.00873211451242102,0.003583914207812699,100,0.5344872092289498,0.5606992512263378
0.009873070157198705,0.009240422714729708,0.003676971355255245,100,0.5656004329611508,0.5742820620270818
0.009485690210094218,0.008792492221816795,0.003325273875725273,100,0.5381828906528111,0.5517495213615117
0.0025464384175096742,0.0024171767707527377,0.0008661248627505623,100,0.1479538621000604,0.14811744289755513
0.0025339023518921046,0.0024669973985555673,0.0009215239462615474,100,0.15100335123336148,0.1473882636759008
0.0026896713883954614,0.0026821654866182503,0.0010132969748955383,100,0.16417365388344282,0.15644880533708766
0.0028045908492058224,0.0025495429008334453,0.0009617806204773727,100,0.15605590924598797,0.16313326962939242
0.0030690667127163717,0.003038900171023976,0.0009531923513538867,100,0.18600915840322063,0.17851690833902814
0.0030051993861928607,0.002954514437444023,0.0008944644673986347,100,0.18084396099591113,0.1748019686710125
0.0028845766187221623,0.0028669536002247885,0.000879188880131612,100,0.17548441750200847,0.16778576291864294
0.0027202706884157622,0.0026243662045765323,0.0010161414683071879,100,0.16063579636794975,0.15822865991448382
0.0025002000850518034,0.002491421734067298,0.0008299138703935304,100,0.1524983493699946,0.14542792033914012
0.002439197739625286,0.002382395733355396,0.0008372190247912319,100,0.14582493678808134,0.141879626630877
