Gesture,All_Users_Recall,Above_Avg_Recall,Absolute_Improvement,Percent_Improvement
thumb_out,0.265,0.305,0.04,15.2
thumb_down,0.452,0.47,0.018,4.029
thumb_click,0.062,0.075,0.013,20.918
thumb_up,0.181,0.192,0.011,6.239
thumb_in,0.253,0.2,-0.053,-20.926
