feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch11_thresh2-events,ch11,Thresh,0.0040900364467579,0.0044046400541133,0.2503485453566564,0.2562025522444999,83,0,0,DROP,
ch09_thresh2-events,ch09,Thresh,0.0040674045581596,0.0046995932294199,0.2489632617624817,0.2733589499019168,84,0,0,DROP,
ch06_fft-halfwidth,ch06,FFT,0.0040648395465914,0.004031050914453,0.248806259025888,0.2344721747571452,85,0,0,DROP,
ch03_fft-highfreq,ch03,FFT,0.004019296282132,0.0043538529409559,0.2460185845988671,0.253248442975137,86,0,0,DROP,
ch01_thresh2-events,ch01,Thresh,0.0040175314795635,0.0047807919499454,0.2459105621492819,0.2780819963216129,87,0,0,DROP,
ch15_fft-highfreq,ch15,FFT,0.0039532996705387,0.0040208858028923,0.2419789737235317,0.2338809056650747,88,0,0,DROP,
ch05_fft-halfwidth,ch05,FFT,0.003952297239043,0.0040905922920769,0.2419176155253728,0.2379354890629648,89,0,0,DROP,
ch08_thresh2-events,ch08,Thresh,0.0038819528320064,0.0044342229808261,0.2376118788394472,0.2579232879308547,90,0,0,DROP,
ch02_fft-highfreq,ch02,FFT,0.0037995073987919,0.0040075618970987,0.2325654459909271,0.233105900527708,91,0,0,DROP,
ch04_fft-halfwidth,ch04,FFT,0.0037639701461303,0.003852715662391,0.2303902332206729,0.2240990350290141,92,0,0,DROP,
ch00_thresh2-events,ch00,Thresh,0.0037447064069032,0.0043528052836201,0.2292111119203081,0.2531875044012677,93,0,0,DROP,
ch14_fft-highfreq,ch14,FFT,0.0037135389297045,0.0037804713709021,0.2273033703437486,0.2198968365208101,94,0,0,DROP,
ch01_fft-highfreq,ch01,FFT,0.0037096395088461,0.0037157369824618,0.227064689258053,0.2161314628846831,95,0,0,DROP,
ch00_fft-highfreq,ch00,FFT,0.0037017397874065,0.003728811689848,0.2265811523026097,0.2168919730196869,96,0,0,DROP,
ch13_fft-highfreq,ch13,FFT,0.0036316732022734,0.0036765639730804,0.2222924209197656,0.2138529055316837,97,0,0,DROP,
ch03_fft-halfwidth,ch03,FFT,0.0036154612462128,0.0037998670963062,0.2213000973378158,0.2210250182314874,98,0,0,DROP,
ch12_fft-highfreq,ch12,FFT,0.0035758041770119,0.0035776599784411,0.218872713201563,0.2081000050579937,99,0,0,DROP,
ch15_thresh2-events,ch15,Thresh,0.0035413178540917,0.0038684687369747,0.2167618271764226,0.2250153364439903,100,0,0,DROP,
ch02_fft-halfwidth,ch02,FFT,0.003522890226747,0.0035539331113748,0.2156338837558269,0.2067198959402288,101,0,0,DROP,
ch09_fft-highfreq,ch09,FFT,0.0035142251869212,0.0036850660460215,0.2151035021457648,0.2143474414665462,102,0,0,DROP,
ch08_fft-highfreq,ch08,FFT,0.0035005175736415,0.0039061589508571,0.2142644678022911,0.2272076447535579,103,0,0,DROP,
ch10_fft-highfreq,ch10,FFT,0.0034995292105358,0.003495902678891,0.214203970721397,0.2033444680442953,104,0,0,DROP,
ch11_fft-highfreq,ch11,FFT,0.0033729483353881,0.0035076288650012,0.2064560353727206,0.2040265393991854,105,0,0,DROP,
ch15_fft-halfwidth,ch15,FFT,0.003370663865893,0.0035038615089719,0.2063162044390731,0.2038074054363501,106,0,0,DROP,
ch14_fft-halfwidth,ch14,FFT,0.0032935981881338,0.0033870321965073,0.201599063021117,0.1970118517332877,107,0,0,DROP,
ch12_fft-halfwidth,ch12,FFT,0.0032614347665641,0.003183127457171,0.1996303603192023,0.1851514240954062,108,0,0,DROP,
ch01_fft-halfwidth,ch01,FFT,0.0032545632365349,0.0034504948676743,0.1992097583100059,0.2007032540103105,109,0,0,DROP,
ch07_thresh3-events,ch07,Thresh,0.0032487958844129,0.0040026245459851,0.198856742332501,0.2328187120307829,110,0,0,DROP,
ch13_fft-halfwidth,ch13,FFT,0.0032409736083856,0.0031547247017835,0.1983779457617799,0.1834993348595879,111,0,0,DROP,
ch00_fft-halfwidth,ch00,FFT,0.0032380852288338,0.0033110554184536,0.1982011498753279,0.1925925474974038,112,0,0,DROP,
ch07_fft-halfwidth,ch07,FFT,0.0032227760378911,0.0035004228733443,0.1972640839755528,0.2036073919929834,113,0,0,DROP,
ch09_thresh3-events,ch09,Thresh,0.0031384007637592,0.00329624273736,0.1920995267844466,0.1917309454924406,114,0,0,DROP,
ch12_thresh3-events,ch12,Thresh,0.0031373607215411,0.0034127886001211,0.1920358664577481,0.1985100119146877,115,0,0,DROP,
ch10_thresh3-events,ch10,Thresh,0.0031232863199999,0.003478321095544,0.1911743812366578,0.2023218086508676,116,0,0,DROP,
