feature,importance
ch12_thresh2-events,0.029801019201104607
ch04_rms,0.024973798124515903
ch00_thresh2-events,0.02116742704735648
ch03_rms,0.021062778648131462
ch03_maxabs,0.02062935617020697
ch10_rms,0.019898350848945985
ch04_mav,0.018548914258259375
ch12_thresh3-events,0.018526309572915053
ch04_maxabs,0.017660535181454214
ch09_rms,0.016376594886254633
ch03_thresh3-events,0.016025496903901662
ch05_thresh2-events,0.015155252781912439
ch03_mav,0.014364659475151038
ch09_mav,0.013722660257857979
ch01_thresh2-events,0.01347658680212504
ch14_mav,0.013045653539488777
ch10_fft-maxpower,0.012267634509613495
ch14_fft-maxpower,0.012045449428133499
ch10_mav,0.012030913096418756
ch09_maxabs,0.011386763981102084
ch15_mav,0.011160815076418099
ch13_mav,0.010785583679319678
ch04_fft-maxpower,0.01050542660351271
ch13_fft-maxpower,0.010470381657817893
ch00_thresh3-events,0.009990217917724782
ch15_rms,0.0099871531747449
ch15_fft-maxpower,0.009906767422377697
ch06_mav,0.009571139406015238
ch11_rms,0.009527637222224385
ch07_mav,0.009522846844038653
ch08_rms,0.0094497911938285
ch10_maxabs,0.009269982322243154
ch11_mav,0.009214761071910533
ch06_rms,0.009212277988550033
ch11_fft-maxpower,0.00917095764131417
ch12_mav,0.008709867231945502
ch14_rms,0.00867834818228738
ch01_rms,0.008600579178878555
ch05_rms,0.008542519446562308
ch03_fft-maxpower,0.008503437375355239
ch12_rms,0.008496405998261647
ch05_fft-maxpower,0.008474858271347639
ch00_maxabs,0.008459272997992692
ch13_rms,0.008431641895892895
ch02_rms,0.008396264816615224
ch03_thresh2-events,0.008374088071665016
ch01_mav,0.008010582906973499
ch00_rms,0.007954377866394266
ch09_fft-maxpower,0.007954115083734684
ch08_mav,0.00784979969600828
ch12_maxabs,0.00780779734189754
ch00_fft-maxpower,0.00769498195601486
ch01_fft-maxpower,0.007678328168349362
ch10_thresh2-events,0.007600854084958781
ch07_rms,0.007447738455132326
ch01_maxabs,0.007403166227806597
ch15_maxabs,0.007296211647826258
ch06_fft-maxpower,0.006980524251605228
ch07_fft-maxpower,0.006870146834308731
ch04_thresh3-events,0.006672346191106177
ch12_fft-maxpower,0.006603986383313122
ch02_maxabs,0.006392497109143906
ch00_mav,0.006371850437107129
ch13_maxabs,0.006253334668767443
ch05_mav,0.006228259131621177
ch04_thresh2-events,0.006210659885976022
ch02_mav,0.006080469278610823
ch14_maxabs,0.006064726733732832
ch05_thresh3-events,0.0058950708615950745
ch06_maxabs,0.0058133712915579274
ch05_maxabs,0.005534596659661758
ch02_thresh2-events,0.005505459010214726
ch02_fft-maxpower,0.005444327042501482
ch11_maxabs,0.005403232868562429
ch01_thresh3-events,0.0053689240795267434
ch06_thresh2-events,0.005357726968701801
ch08_fft-maxpower,0.005222457863181146
ch09_thresh3-events,0.00518430819781681
ch07_maxabs,0.005121375239750782
ch09_thresh2-events,0.005082624773452906
ch08_maxabs,0.0049066182734302756
ch01_fft-halfwidth,0.004113892491638664
ch11_thresh2-events,0.0038995289689172192
ch01_fft-highfreq,0.0037019955767053324
ch15_thresh2-events,0.0034788335382512792
ch02_fft-halfwidth,0.0034102233032884083
ch07_thresh3-events,0.003317248144063239
ch05_fft-highfreq,0.00326330897828503
ch15_fft-halfwidth,0.003234055843011694
ch00_fft-halfwidth,0.003222461632186174
ch07_thresh2-events,0.003199499619787503
ch04_fft-halfwidth,0.003134518339132754
ch03_fft-highfreq,0.003131603306974107
ch13_fft-highfreq,0.0030830609893215183
ch02_fft-highfreq,0.0030514584129963285
ch06_thresh3-events,0.002972412387674403
ch14_fft-highfreq,0.0029677943476147384
ch15_fft-highfreq,0.0029608553093904365
ch05_fft-halfwidth,0.0029027736441926168
ch06_fft-halfwidth,0.0028481103319551522
ch08_thresh2-events,0.0028278954776302613
ch10_fft-highfreq,0.0028176831750041133
ch10_thresh3-events,0.0027968373934461484
ch08_fft-highfreq,0.002762467971929654
ch13_thresh2-events,0.0027406021265307845
ch08_fft-halfwidth,0.0027261439958272387
ch09_fft-highfreq,0.0026934427683291146
ch10_fft-halfwidth,0.002670573174073953
ch13_fft-halfwidth,0.0026446456025858906
ch04_fft-peakfreq,0.0026239819024299915
ch14_thresh2-events,0.002611148108995778
ch03_fft-halfwidth,0.0025885590141785575
ch11_fft-highfreq,0.002574549770286933
ch04_fft-highfreq,0.002555037478036693
ch07_fft-highfreq,0.002526999960145736
ch11_fft-halfwidth,0.0025163363803662863
ch12_fft-highfreq,0.002510334083671165
ch07_fft-halfwidth,0.0024572165012130736
ch00_fft-highfreq,0.002456423255181159
ch05_fft-lowfreq,0.0024550480739727633
ch06_fft-highfreq,0.0024160465699929624
ch06_fft-peakfreq,0.002401732611712386
ch11_thresh3-events,0.002348870023970009
ch10_fft-peakfreq,0.002277162050795305
ch05_fft-peakfreq,0.0022533698766099225
ch01_fft-peakfreq,0.002244608002273662
ch15_thresh3-events,0.0022303021286058334
ch12_fft-halfwidth,0.00221430356008226
ch13_thresh3-events,0.0022017356105013793
ch14_fft-halfwidth,0.002199788197416243
ch11_fft-peakfreq,0.0021872592667313263
ch00_fft-peakfreq,0.002163281411810508
ch09_fft-halfwidth,0.0021590544046208434
ch04_fft-lowfreq,0.002155283644542612
ch06_fft-lowfreq,0.0021433165047938393
ch13_fft-peakfreq,0.0020679414653424774
ch14_thresh3-events,0.001999249962425958
ch02_thresh3-events,0.001968767616336417
ch14_fft-lowfreq,0.0019470976043672547
ch08_fft-peakfreq,0.0018630560538078784
ch12_fft-peakfreq,0.0018314688791373779
ch15_fft-peakfreq,0.0018292843687032411
ch15_fft-lowfreq,0.0017755860071545849
ch00_fft-lowfreq,0.0017724734256633857
ch03_fft-peakfreq,0.0017464871574318077
ch14_fft-peakfreq,0.0017412698699298527
ch09_fft-peakfreq,0.0017395804343234972
ch13_fft-lowfreq,0.0017145459981707288
ch09_fft-lowfreq,0.0017100461405131677
ch08_thresh3-events,0.0016951071445572654
ch01_fft-lowfreq,0.0016898552444291445
ch08_fft-lowfreq,0.0016786518439525972
ch03_fft-lowfreq,0.0016658706361945483
ch12_fft-lowfreq,0.0016494489682475208
ch07_fft-peakfreq,0.0016142113677891019
ch07_fft-lowfreq,0.0015927079610596707
ch11_fft-lowfreq,0.0015738022637740662
ch02_fft-lowfreq,0.0015192459227140465
ch10_fft-lowfreq,0.0014192988314754651
ch02_fft-peakfreq,0.0013032447147810955
