Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
XGBoost,91,0.5772151898734177,790,5
XGBoost,52,0.4728104575163399,677,5
XGBoost,36,0.45271317829457364,645,5
XGBoost,58,0.8039722318239428,1316,5
XGBoost,4,0.8455339674829656,1217,5
XGBoost,21,0.5808314820691844,687,5
XGBoost,71,0.7912394622920937,661,5
XGBoost,51,0.7493253434429905,1109,5
XGBoost,19,0.6387460900312797,858,5
XGBoost,27,0.5853076383658417,1389,5
XGBoost,42,0.6241379310344828,870,5
XGBoost,63,0.8383248601931875,1404,5
XGBoost,85,0.7673182511438739,1401,5
XGBoost,6,0.821830985915493,1420,5
XGBoost,38,0.6658823529411764,850,5
XGBoost,49,0.7402690492415638,1409,5
XGBoost,77,0.8560242059060332,1389,5
XGBoost,12,0.6628080928758798,1388,5
XGBoost,33,0.7174442127540381,1267,5
XGBoost,56,0.6902532284827935,833,5
XGBoost,68,0.7371428571428572,1400,5
XGBoost,37,0.6221556886227545,839,5
XGBoost,9,0.5321182266009853,872,5
XGBoost,95,0.6208393532851738,852,5
XGBoost,73,0.7899896800825593,852,5
XGBoost,28,0.6140350877192982,855,5
XGBoost,16,0.7913141840366039,1404,5
XGBoost,67,0.7714285714285715,875,5
XGBoost,59,0.4728646014618866,848,5
XGBoost,81,0.816670055922725,1402,5
XGBoost,2,0.81766395526182,1404,5
XGBoost,23,0.87657823804795,1329,5
XGBoost,78,0.49540229885057474,870,5
XGBoost,46,0.47518273581622,848,5
XGBoost,7,0.7141412151067323,871,5
XGBoost,39,0.7159965782720275,838,5
XGBoost,84,0.6522738218094256,854,5
XGBoost,62,0.6216646266829866,859,5
XGBoost,43,0.852280356376669,1408,5
XGBoost,18,0.8384057971014492,1380,5
XGBoost,26,0.7834511008704557,1399,5
XGBoost,57,0.769443546649429,1362,5
XGBoost,69,0.7407684729064039,872,5
XGBoost,32,0.87695918830923,1406,5
XGBoost,13,0.8309506863243519,1402,5
XGBoost,48,0.6348976305498045,808,5
XGBoost,76,0.8326271186440678,884,5
XGBoost,90,0.6833181818181819,878,5
XGBoost,29,0.8749966000271998,856,5
XGBoost,17,0.7301889429258204,1338,5
XGBoost,72,0.7608181227905634,832,5
XGBoost,94,0.500578034682081,865,5
XGBoost,53,0.4196560027519779,853,5
XGBoost,8,0.772183942858585,1409,5
XGBoost,79,0.844536610343062,1396,5
XGBoost,47,0.5989954821937861,1409,5
XGBoost,22,0.5509440849510535,1227,5
XGBoost,3,0.6137931034482759,870,5
XGBoost,80,0.6709028019708356,1416,5
XGBoost,66,0.6025155993431855,873,5
XGBoost,54,0.6659090909090909,880,5
XGBoost,31,0.8310624679979519,1397,5
XGBoost,10,0.42841475573280163,593,5
XGBoost,75,0.7356256929939919,1392,5
XGBoost,93,0.4674556213017752,845,5
XGBoost,87,0.7950704225352113,1420,5
XGBoost,61,0.6586033068960881,861,5
XGBoost,98,0.9060188933873145,1426,5
XGBoost,40,0.7361702127659574,1410,5
XGBoost,25,0.6786059954294931,862,5
XGBoost,44,0.6659420289855073,1380,5
XGBoost,0,0.8499411071849234,1413,5
XGBoost,83,0.8109816880077103,1349,5
XGBoost,65,0.7320908909706996,866,5
XGBoost,14,0.4685223525803236,809,5
XGBoost,97,0.616671298440636,1273,5
XGBoost,50,0.5637915742793791,823,5
XGBoost,88,0.6609532282663955,1401,5
XGBoost,35,0.7420411337711718,1318,5
XGBoost,92,0.6708834154351396,872,5
XGBoost,74,0.5185576018282028,862,5
XGBoost,11,0.778921898104584,864,5
XGBoost,30,0.471764705882353,850,5
XGBoost,55,0.7357883745214061,848,5
XGBoost,24,0.6720656814449917,872,5
XGBoost,41,0.45588822355289416,838,5
XGBoost,99,0.7317919075144509,865,5
XGBoost,60,0.8416193432775547,1408,5
XGBoost,86,0.7479636513837258,1349,5
XGBoost,5,0.6383031027838681,868,5
XGBoost,64,0.461389751552795,802,5
XGBoost,82,0.7474251238957121,1362,5
XGBoost,1,0.6474852169291078,868,5
XGBoost,20,0.769394806735257,1392,5
XGBoost,45,0.813797993862974,1391,5
XGBoost,34,0.5614906832298138,805,5
XGBoost,89,0.5809195402298851,871,5
XGBoost,96,0.859303776683087,874,5
XGBoost,70,0.6909684799186578,1401,5
XGBoost,15,0.8342806305290329,1412,5
