feature,importance
ch11_rms,0.009773131637235
ch06_rms,0.0097276029484067
ch05_thresh2-events,0.0093283801316076
ch13_rms,0.0092923436497827
ch08_mav,0.0092607499594934
ch13_fft-maxpower,0.0091324761055059
ch09_mav,0.0090813622643529
ch09_fft-maxpower,0.0090759636795758
ch01_maxabs,0.0089375844210923
ch07_rms,0.008826457212576
ch03_fft-maxpower,0.0088051737479852
ch10_maxabs,0.0087950692437963
ch14_fft-maxpower,0.0087745014381642
ch09_rms,0.0086906326486121
ch02_maxabs,0.0086393805685089
ch14_rms,0.0086045881282306
ch13_mav,0.0086002852061676
ch15_mav,0.00851067769674
ch08_rms,0.0084289197389369
ch15_rms,0.0084108493691071
ch06_maxabs,0.0083950221068948
ch01_rms,0.0083737140394439
ch14_mav,0.0082979811160302
ch15_fft-maxpower,0.0082432188320756
ch06_fft-maxpower,0.0081198919666889
ch02_rms,0.0080658595488338
ch14_maxabs,0.0080431557707991
ch01_fft-maxpower,0.007858336820657
ch00_mav,0.0078122646761259
ch12_rms,0.0077397024138462
ch11_maxabs,0.0076942745941727
ch01_mav,0.0076525196039455
ch00_rms,0.0076356614910723
ch12_mav,0.0076124127590908
ch15_maxabs,0.0076015409843988
ch09_maxabs,0.0075986745612661
ch06_fft-highfreq,0.0075954940948224
ch12_fft-maxpower,0.0075799134231908
ch08_maxabs,0.0075503811214697
ch07_maxabs,0.0074531045822958
ch00_maxabs,0.0074419505450604
ch12_maxabs,0.0074282236801975
ch00_fft-maxpower,0.0073792265116212
ch02_mav,0.0073444747305063
ch02_fft-maxpower,0.0072413926503794
ch08_fft-maxpower,0.0072097727724593
ch05_fft-highfreq,0.0070729539056765
ch07_fft-maxpower,0.0069952836010515
ch04_thresh3-events,0.0064217921864095
ch04_fft-highfreq,0.0064073954728537
ch11_thresh2-events,0.0063333625485871
ch06_thresh2-events,0.0063276530232919
ch03_thresh2-events,0.0060595487379254
ch07_fft-highfreq,0.0056518967374228
ch10_thresh2-events,0.0055290163712022
ch05_fft-halfwidth,0.0055194796518124
ch09_thresh2-events,0.0052197673393695
ch06_fft-halfwidth,0.0052061949899886
ch03_fft-highfreq,0.0051879176316607
ch07_thresh2-events,0.0051545138879254
ch14_thresh2-events,0.0050823262376389
ch04_fft-halfwidth,0.0050462948104103
ch15_thresh2-events,0.0050258200995718
ch12_thresh2-events,0.0049777704547343
ch05_thresh3-events,0.0049302526437783
ch15_fft-highfreq,0.0047457112718386
ch14_fft-highfreq,0.0047331775476419
ch08_thresh2-events,0.0047279115115621
ch01_thresh2-events,0.0046663064216241
ch02_thresh2-events,0.004655375043688
ch13_fft-highfreq,0.0046474358888804
ch02_fft-highfreq,0.0046358883653106
ch03_fft-halfwidth,0.0046041463103909
ch13_thresh2-events,0.0045962215350191
ch15_fft-halfwidth,0.0044631059705119
ch08_fft-highfreq,0.0044581144833808
ch00_thresh2-events,0.0044349414176072
ch10_fft-highfreq,0.0044160768392422
ch00_fft-highfreq,0.0044032885850319
ch01_fft-highfreq,0.004389811342345
ch12_fft-highfreq,0.0043851069934254
ch09_fft-highfreq,0.0043741063964904
ch02_fft-halfwidth,0.0043637752378111
ch03_thresh3-events,0.0043625663796299
ch11_fft-highfreq,0.004352223142229
ch14_fft-halfwidth,0.0042771465751802
ch07_fft-halfwidth,0.004229485458467
ch01_fft-halfwidth,0.004147686351736
ch07_fft-lowfreq,0.0041423140115984
ch10_fft-halfwidth,0.0041352305111763
ch00_fft-halfwidth,0.0041295699974406
ch10_thresh3-events,0.0041024378273307
ch15_thresh3-events,0.0040428093557801
ch06_thresh3-events,0.0040277445282483
ch13_fft-halfwidth,0.004027351155647
ch09_fft-halfwidth,0.0040084826458635
ch08_fft-halfwidth,0.0039996651639152
ch11_fft-halfwidth,0.0039836766114205
ch12_fft-halfwidth,0.0039461518876717
ch04_fft-peakfreq,0.0039093890041758
ch06_fft-peakfreq,0.0038903739026753
ch05_fft-peakfreq,0.0038251184808344
ch06_fft-lowfreq,0.0037720084406784
ch03_fft-peakfreq,0.0037688373883666
ch09_thresh3-events,0.0037569604833351
ch12_thresh3-events,0.0037468210613001
ch07_fft-peakfreq,0.003727957705478
ch11_thresh3-events,0.0037037549274563
ch14_thresh3-events,0.0035847403175558
ch15_fft-peakfreq,0.003549250076014
ch07_thresh3-events,0.0035177651170616
ch02_fft-peakfreq,0.0034620681551158
ch03_fft-lowfreq,0.0034169052597958
ch08_thresh3-events,0.0034010895320197
ch14_fft-peakfreq,0.0033784672969094
ch10_fft-peakfreq,0.0033699064431389
ch11_fft-peakfreq,0.0033668374851105
ch13_thresh3-events,0.0032930058648639
ch04_fft-lowfreq,0.0032838427903899
ch01_thresh3-events,0.0032767735671022
ch02_fft-lowfreq,0.0032633131707237
ch13_fft-peakfreq,0.0032581232167457
ch09_fft-peakfreq,0.0032401953822956
ch12_fft-peakfreq,0.0032254618260705
ch00_thresh3-events,0.0032166998970571
ch02_thresh3-events,0.0032054417194302
ch05_fft-lowfreq,0.0031946659227518
ch01_fft-peakfreq,0.0031424975981266
ch00_fft-peakfreq,0.0031037866687204
ch08_fft-peakfreq,0.0030933249206645
ch08_fft-lowfreq,0.0030706989716589
ch01_fft-lowfreq,0.0030696014606869
ch00_fft-lowfreq,0.0028917899301167
ch11_fft-lowfreq,0.0028474419269142
ch15_fft-lowfreq,0.0028096817479633
ch10_fft-lowfreq,0.0027555596901723
ch14_fft-lowfreq,0.0027485748947465
ch13_fft-lowfreq,0.0027317464520335
ch12_fft-lowfreq,0.0027181311056788
ch09_fft-lowfreq,0.0026844153461174
