Metric,All users,Above-avg samples
User Count,3.0,2.0
Total Samples,908.0,692.0
Mean Accuracy,0.5168428920767867,0.619942196531792
Accuracy Std,0.1833237487453514,0.056161214210118354
F1 Macro,0.44331047214789937,0.41166108193895534
