Model,Mean_Accuracy,Std_Accuracy,Mean_F1_Macro,Std_F1_Macro,Hyperparameters,N_Users_Evaluated,N_Users_Skipped,Total_Folds,Config_Hash,experiment_date,experiment_timestamp
Logit_L2,0.7340070508055049,0.1195303717119545,0.7163904165992456,0.1194627380275894,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,a586f7d1dcad217d4d7baf2d675a31c9,2026-02-07,2026-02-07 13:23:39
Logit_Weighted_L2,0.7288909565585541,0.1191284515679697,0.709837635758817,0.1181988475834687,"{'C': 1.0, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,0f0843a304ef9843a2edd2eefe130f78,2026-02-07,2026-02-07 13:23:39
Logit_All_L2,0.724992975863896,0.1256979008323707,0.7012641902498405,0.1238899838222383,"{'C': 0.1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,7d7e8269ebb386e70de78773355630fd,2026-02-07,2026-02-07 13:23:39
Logit_Weighted_All_L2,0.7223406139040625,0.1263377751837917,0.7005317212504661,0.1246156381843294,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': 13, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",100,0,500,577a491d163d04f570567fbdef670ff6,2026-02-07,2026-02-07 13:23:39
XGBoost,0.6904653706740068,0.1277934524270144,0.6568618698526957,0.121808888849566,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': 'mlogloss', 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 100, 'n_jobs': 1, 'num_parallel_tree': None, 'random_state': 13, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",100,0,500,9e64b88d6edb7b9d023fb52de9335db4,2026-02-07,2026-02-07 13:23:39
RandomForest,0.642841309882059,0.1196478454937166,0.613753656595012,0.1139408362969971,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': 1, 'oob_score': False, 'random_state': 13, 'verbose': 0, 'warm_start': False}",100,0,500,fcbd7bca77b9fbcdda2675ee92f937c4,2026-02-07,2026-02-07 13:23:39
DecisionTree,0.5470703209672898,0.1297557596881891,0.5063316770674913,0.1130614227580202,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 13, 'splitter': 'best'}",100,0,500,8a80aed695ac50f7a4958757621a6397,2026-02-07,2026-02-07 13:23:39
DummyClassifier,0.1465018208401164,0.0436798425447965,0.1085745728103175,0.0223453917343852,"{'constant': None, 'random_state': 13, 'strategy': 'stratified'}",100,0,500,4e55fb11b8ba5fcfa07fc9e6317aee55,2026-02-07,2026-02-07 13:23:39
