feature,importance,importance_normalized
ch03_fft-maxpower,1.816283027099697,0.19920065799349865
ch10_fft-maxpower,1.6561184971272171,0.1816346293065025
ch06_maxabs,1.1390649813949782,0.12492683706545318
ch13_mav,1.0162204299971178,0.1114538732683705
ch04_thresh2-events,0.7684893294667654,0.08428398977840548
ch11_fft-maxpower,0.6280757627181663,0.06888414599293599
ch00_mav,0.5023532705987539,0.05509554433719045
ch15_fft-maxpower,0.4934558923888054,0.0541197252784896
ch12_rms,0.41963031265828105,0.04602291226000583
ch04_fft-maxpower,0.36011268923179096,0.03949532290753686
ch14_rms,0.31805237162242395,0.034882361811610946
